timestamp,voltage,current
1667528440.0190756,5010,90
1667528440.1673465,5010,90
1667528440.3137786,5010,100
1667528440.4367893,5010,90
1667528440.5943196,5010,90
1667528440.7319224,5010,90
1667528440.8539073,5010,90
1667528440.9775243,5010,90
1667528441.1008222,5010,90
1667528441.2460136,5010,90
1667528441.3915088,5010,90
1667528441.5136993,5010,90
1667528441.6358223,5010,100
1667528441.7579217,5010,90
1667528441.880644,5010,90
1667528442.0500126,5010,90
1667528442.1724386,5010,100
1667528442.294956,5010,90
1667528442.4162378,5010,90
1667528442.5382974,5010,90
1667528442.6620882,5010,90
1667528442.7845128,5010,90
1667528442.9293983,5010,90
1667528443.0511863,5010,90
1667528443.1961496,5010,100
1667528443.3174515,5010,90
1667528443.439559,5010,90
1667528443.5615673,5010,90
1667528443.6828964,5010,90
1667528443.847959,5010,90
1667528443.9779718,5010,90
1667528444.102209,5010,100
1667528444.2259655,5010,90
1667528444.352044,5010,90
1667528444.4962819,5010,90
1667528444.6390493,5010,90
1667528444.7618856,5010,90
1667528444.8874836,5010,90
1667528445.0363688,5010,90
1667528445.162267,5010,90
1667528445.3010442,5010,90
1667528445.427551,5010,100
1667528445.6475737,5010,90
1667528445.7837694,9490,90
1667528445.9110537,9530,90
1667528446.0373807,9530,90
1667528446.18146,9510,80
1667528446.3047428,9530,90
1667528446.4485104,9550,80
1667528446.5724177,9540,90
1667528446.8083136,9560,90
1667528446.9313145,5010,90
1667528447.0546682,5010,90
1667528447.1973646,5010,90
1667528447.3226132,5010,100
1667528447.465386,5010,90
1667528447.5848796,5010,90
1667528447.7073762,5010,100
1667528447.829094,5010,90
1667528447.9507189,5010,90
1667528448.0714176,5010,90
1667528448.1934772,5010,90
1667528448.3157454,5010,90
1667528448.4382753,5010,90
1667528448.609748,5010,90
1667528448.7314916,5010,90
1667528448.8526533,5010,90
1667528448.973356,5010,90
1667528449.0946047,5010,90
1667528449.2165277,5010,100
1667528449.3389158,5010,100
1667528449.4609804,5010,90
1667528449.616886,5010,90
1667528449.7522688,5010,90
1667528449.8732016,5010,90
1667528449.9955802,5010,90
1667528450.1173172,5010,90
1667528450.2387898,5010,90
1667528450.3628397,5010,90
1667528450.5106235,5010,90
1667528450.6321545,5010,90
1667528450.7761996,5010,90
1667528450.8977978,5010,90
1667528451.0205622,5010,90
1667528451.142558,5010,90
